CIRCOSCRIZIONE,COLLEGIO PLURINOMINALE,COLLEGIO UNINOMINALE,COMUNE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,MONTEU DA PO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,MORIONDO TORINESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,PAVAROLO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,PINO TORINESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,RIVA PRESSO CHIERI
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,RIVALBA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,RONDISSONE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,SAN BENIGNO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,SAN MAURO TORINESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,SAN RAFFAELE CIMENA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,SAN SEBASTIANO DA PO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,SCIOLZE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,SETTIMO TORINESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,TORRAZZA PIEMONTE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,VEROLENGO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,VERRUA SAVOIA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,VILLAREGGIA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,VOLPIANO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,AIRASCA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,CAMBIANO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,CANDIOLO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,CARIGNANO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,CARMAGNOLA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,CASTAGNOLE PIEMONTE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,CERCENASCO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,ISOLABELLA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,LA LOGGIA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,LOMBRIASCO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,MONCALIERI
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,NICHELINO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,NONE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,OSASIO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,PANCALIERI
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,PECETTO TORINESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 08 - MONCALIERI,PIOBESI TORINESE
